Title	despair	horror	grotesque	tears	commedy	daily	love	action	brain	unexpected
Steins;Gate	4	1	1	5	3	2	3	2	5	5
魔法少女まどか☆マギカ	5	1	3	5	1	2	3	4	3	5
Re:ゼロから始める異世界生活	4	1	5	4	3	1	4	4	3	4
進撃の巨人	5	2	5	3	1	1	1	5	3	5
ジョジョの奇妙な冒険	1	1	3	4	3	3	1	5	3	3
のんのんびより	1	1	1	2	4	5	2	1	1	1
化物語	1	1	4	3	5	3	5	3	3	3
東京喰種	4	2	5	3	1	1	2	5	3	3
ぼくらの	5	2	3	4	1	1	1	3	3	5
魔法使いの嫁	4	1	3	4	2	1	3	4	3	3
少女終末旅行	4	1	1	4	3	4	2	1	2	4
アカメが斬る！	4	1	5	3	2	1	4	5	2	4
結城友奈は勇者である	4	1	3	3	2	2	3	4	3	4
ご注文はうさぎですか？	1	1	1	1	4	5	5	1	1	1
あそびあそばせ	1	1	1	1	5	5	3	1	1	2
